ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
0096311D6AC642D4A953F4D86633A28A96D9EBDD_48;44156;41781;1;59492;59792;60746;[(44156, 41781, 2793296)]
0096D912D9213C1A8ECB0BF6BE016091B575DBBD_49;42704;42714;1;51622;51922;52648;[(42704, 42714, 2791763)]
0097C444EC9A235AC0F8EE0B2C98175AB89CA1CF_50;41359;42110;1;29211;29511;30832;[(41359, 42110, 2793705)]
0097C444EC9A235AC0F8EE0B2C98175AB89CA1CF_51;41371;41358;1;58532;58832;59704;[(41371, 41358, 2792358)]
00A14C2A48E30C6A5F3565CB9ABFA4259F08C4C2_52;42175;41322;1;48943;49243;52394;[(42175, 41322, 2790818)]
00A1FB124230D65FF66D38DB4001A601793806D1_53;41454;46278;1;64925;65225;66044;[(41454, 46278, 2792075)]
00A84142759C24081994530BD81860E79E169F2F_54;41917;41395;1;26770;27070;27927;[(41917, 41395, 2791667)]
00AA3A6D9F90DF5C4FC119C25D662018602F935B_55;46084;41933;1;32489;32789;35882;[(46084, 41915, 2793190), (41915, 41933, 2791074)]
00AA3A6D9F90DF5C4FC119C25D662018602F935B_56;41934;41914;1;63959;64259;65860;[(41934, 41914, 2794143)]
00AD754CB70691775F71D22CD1FAD16101F68D34_57;42448;42458;1;43913;44213;44902;[(42448, 42458, 2791230)]
00AD754CB70691775F71D22CD1FAD16101F68D34_58;42001;41322;1;59673;59973;66462;[(42001, 42457, 2790101), (42458, 42000, 2791919), (42000, 42139, 2790354), (42139, 41322, 2792417)]
00AF59E37E2AED8D8E858183B92B474BD63B2E8C_59;42911;41851;1;51870;52170;53230;[(42911, 41851, 2793767)]
00AF59E37E2AED8D8E858183B92B474BD63B2E8C_60;41848;41864;1;53015;53315;54466;[(41848, 41864, 2790115)]
00B2E27393244AB4B35E30DF65797F7B19FDE0D1_61;48050;45028;1;26540;26840;27752;[(48050, 45028, 2790310)]
00B35309CD35162D58008575B496BD8EFACED045_62;41366;41322;1;27686;27986;29326;[(41366, 41322, 2794630)]
00B41216313A963062908BDD495FC505EECFAC2F_63;41283;41444;1;45429;45729;47510;[(41283, 41444, 2791413)]
